nama_transaksi,nominal,tanggal,bulan,hari_dalam_seminggu,adalah_weekend,kategori
Karaoke happy hour,38000,2024-08-23,8,4,0,Hiburan
Tagihan kartu kredit,818000,2024-02-02,2,4,0,Tagihan
Beli pulsa,256000,2024-11-07,11,3,0,Tagihan
Fotokopi materi kuliah,39500,2024-12-03,12,1,0,Pendidikan
Beli charger HP,353500,2024-01-08,1,0,0,Belanja
Top up GoPay,165500,2024-05-10,5,4,0,Tagihan
Beli sepatu,783500,2024-12-21,12,5,1,Belanja
Grab ke kantor,4500,2024-07-31,7,2,0,Transportasi
Tol Jakarta Bekasi,4500,2024-04-08,4,0,0,Transportasi
Bensin motor,177000,2024-04-29,4,0,0,Transportasi
Tiket kereta Bandung,72500,2024-06-07,6,4,0,Transportasi
Beli buku programming,276000,2024-12-15,12,6,1,Pendidikan
Beli buku programming,435500,2024-06-19,6,2,0,Pendidikan
Beli tas ransel,729500,2024-06-17,6,0,0,Belanja
Suplemen olahraga,213500,2024-11-10,11,6,1,Kesehatan
Beli obat apotek,42500,2024-11-12,11,1,0,Kesehatan
Beli paracetamol,175500,2024-07-10,7,2,0,Kesehatan
Bensin mobil,114000,2024-08-13,8,1,0,Transportasi
Beli masker,17500,2024-05-14,5,1,0,Kesehatan
Beli obat apotek,87500,2024-01-25,1,3,0,Kesehatan
Langganan Coursera,70000,2024-03-09,3,5,1,Pendidikan
Beli masker,51500,2024-05-09,5,3,0,Kesehatan
Beli flashcard,176000,2024-04-18,4,3,0,Pendidikan
Beli jurnal,499000,2024-08-29,8,3,0,Pendidikan
Iuran BPJS,150500,2024-04-08,4,0,0,Kesehatan
Beli charger HP,437000,2024-06-11,6,1,0,Belanja
Beli pulsa,154500,2024-07-02,7,1,0,Tagihan
Netflix bulanan,251000,2024-07-31,7,2,0,Hiburan
Vitamin C Redoxon,62500,2024-02-08,2,3,0,Kesehatan
Deterjen & sabun,567500,2024-08-23,8,4,0,Belanja
Cicilan HP,598500,2024-05-25,5,5,1,Tagihan
Karaoke happy hour,463000,2024-02-25,2,6,1,Hiburan
Beli baju Uniqlo,652500,2024-03-11,3,0,0,Belanja
Kursus bahasa Inggris,107000,2024-06-02,6,6,1,Pendidikan
Beli hand sanitizer,189500,2024-05-08,5,2,0,Kesehatan
Tol Jakarta Bekasi,53000,2024-01-09,1,1,0,Transportasi
Tol Jakarta Bekasi,78500,2024-09-10,9,1,0,Transportasi
Bayar kos bulanan,701500,2024-09-01,9,6,1,Tagihan
Iuran BPJS,245000,2024-04-05,4,4,0,Kesehatan
Klinik gigi,234000,2024-12-08,12,6,1,Kesehatan
Top up OVO,421500,2024-12-17,12,1,0,Tagihan
Sarapan nasi uduk,126000,2024-11-25,11,0,0,Makanan & Minuman
Beli alat tulis,269500,2024-06-12,6,2,0,Pendidikan
Kursus online Udemy,143000,2024-10-17,10,3,0,Pendidikan
Karaoke happy hour,110500,2024-02-27,2,1,0,Hiburan
Tagihan internet Indihome,201000,2024-06-04,6,1,0,Tagihan
Beli baju Uniqlo,471500,2024-03-10,3,6,1,Belanja
Nonton bioskop CGV,464500,2024-07-29,7,0,0,Hiburan
Top up GoPay,77500,2024-09-13,9,4,0,Tagihan
Beli flashcard,104000,2024-05-25,5,5,1,Pendidikan
Gojek pulang kerja,168000,2024-05-30,5,3,0,Transportasi
Spotify premium,148500,2024-03-24,3,6,1,Hiburan
Top up OVO,942500,2024-05-28,5,1,0,Tagihan
Beli flashcard,110500,2024-01-19,1,4,0,Pendidikan
Vitamin C Redoxon,196500,2024-05-01,5,2,0,Kesehatan
Ojek online kampus,116000,2024-12-09,12,0,0,Transportasi
Skincare Wardah,341500,2024-04-10,4,2,0,Belanja
YouTube Premium,27500,2024-10-30,10,2,0,Hiburan
Iuran BPJS,239000,2024-06-09,6,6,1,Kesehatan
Beli paracetamol,186500,2024-06-26,6,2,0,Kesehatan
Tol Jakarta Bekasi,98500,2024-07-09,7,1,0,Transportasi
Kursus online Udemy,386500,2024-11-29,11,4,0,Pendidikan
Gofood ayam geprek,138500,2024-06-16,6,6,1,Makanan & Minuman
Beli alat tulis,26000,2024-01-13,1,5,1,Pendidikan
Cicilan HP,510500,2024-03-13,3,2,0,Tagihan
Suplemen olahraga,187000,2024-05-02,5,3,0,Kesehatan
Beli boba,101000,2024-08-19,8,0,0,Makanan & Minuman
Beli flashcard,24500,2024-01-07,1,6,1,Pendidikan
Tiket kereta Bandung,163000,2024-08-19,8,0,0,Transportasi
Top up GoPay,231000,2024-07-23,7,1,0,Tagihan
Grab ke kantor,76500,2024-06-30,6,6,1,Transportasi
Beli paracetamol,253000,2024-10-11,10,4,0,Kesehatan
Bayar air PDAM,34500,2024-03-06,3,2,0,Tagihan
Makan malam padang,132000,2024-12-07,12,5,1,Makanan & Minuman
Fotokopi materi kuliah,136000,2024-09-25,9,2,0,Pendidikan
Bensin mobil,59500,2024-08-30,8,4,0,Transportasi
Bayar kos bulanan,469000,2024-03-10,3,6,1,Tagihan
Es teh manis,61000,2024-09-23,9,0,0,Makanan & Minuman
Beli obat apotek,291000,2024-03-17,3,6,1,Kesehatan
Beli telur & sayur,95500,2024-12-14,12,5,1,Makanan & Minuman
Bayar kos bulanan,163500,2024-10-30,10,2,0,Tagihan
Klinik gigi,234000,2024-10-18,10,4,0,Kesehatan
Beli obat apotek,152000,2024-01-19,1,4,0,Kesehatan
Nonton bioskop CGV,72000,2024-08-02,8,4,0,Hiburan
Tiket konser,467000,2024-07-06,7,5,1,Hiburan
Bensin motor,9500,2024-11-13,11,2,0,Transportasi
Beli sepatu,221000,2024-12-27,12,4,0,Belanja
Steam game,367000,2024-06-29,6,5,1,Hiburan
Tiket busway,11000,2024-03-27,3,2,0,Transportasi
Kursus online Udemy,202500,2024-01-28,1,6,1,Pendidikan
Es teh manis,123500,2024-06-14,6,4,0,Makanan & Minuman
Grab food mie ayam,8000,2024-12-31,12,1,0,Makanan & Minuman
Vitamin C Redoxon,229000,2024-02-07,2,2,0,Kesehatan
Makan malam padang,120000,2024-03-02,3,5,1,Makanan & Minuman
Top up OVO,362500,2024-04-19,4,4,0,Tagihan
Deterjen & sabun,568500,2024-01-25,1,3,0,Belanja
Beli masker,56500,2024-10-23,10,2,0,Kesehatan
Beli pulsa,909000,2024-04-06,4,5,1,Tagihan
Game top up Mobile Legends,330000,2024-06-16,6,6,1,Hiburan
Top up Free Fire,152000,2024-02-28,2,2,0,Hiburan
Vitamin C Redoxon,185000,2024-11-24,11,6,1,Kesehatan
Spotify premium,124500,2024-04-30,4,1,0,Hiburan
Spotify premium,423500,2024-05-10,5,4,0,Hiburan
KFC,88500,2024-02-23,2,4,0,Makanan & Minuman
Deterjen & sabun,682500,2024-08-25,8,6,1,Belanja
Steam game,180000,2024-06-19,6,2,0,Hiburan
Alfamart kebutuhan rumah,547500,2024-04-28,4,6,1,Belanja
Beli jurnal,329500,2024-01-30,1,1,0,Pendidikan
Game top up Mobile Legends,288000,2024-08-18,8,6,1,Hiburan
Vitamin C Redoxon,207500,2024-06-01,6,5,1,Kesehatan
Steam game,293500,2024-04-11,4,3,0,Hiburan
Beli hand sanitizer,238500,2024-05-27,5,0,0,Kesehatan
Beli obat apotek,239000,2024-11-26,11,1,0,Kesehatan
Parkir mall,87500,2024-02-26,2,0,0,Transportasi
Tiket KRL,133500,2024-03-26,3,1,0,Transportasi
Beli charger HP,764000,2024-11-25,11,0,0,Belanja
Fotokopi materi kuliah,93500,2024-11-26,11,1,0,Pendidikan
Iuran BPJS,34000,2024-03-31,3,6,1,Kesehatan
Beli alat tulis,253000,2024-04-12,4,4,0,Pendidikan
Beli pulsa,420000,2024-03-19,3,1,0,Tagihan
Beli flashcard,217000,2024-07-03,7,2,0,Pendidikan
Beli sepatu,196000,2024-01-26,1,4,0,Belanja
YouTube Premium,471500,2024-02-29,2,3,0,Hiburan
Vitamin C Redoxon,44500,2024-04-27,4,5,1,Kesehatan
Tokopedia elektronik,645000,2024-11-18,11,0,0,Belanja
Bensin motor,25500,2024-01-16,1,1,0,Transportasi
Tagihan kartu kredit,759000,2024-08-02,8,4,0,Tagihan
Bayar listrik PLN,279000,2024-03-29,3,4,0,Tagihan
Spotify premium,272500,2024-07-15,7,0,0,Hiburan
Beli jurnal,153500,2024-09-24,9,1,0,Pendidikan
Langganan Coursera,430500,2024-02-25,2,6,1,Pendidikan
Beli tas ransel,87500,2024-06-28,6,4,0,Belanja
Tol Jakarta Bekasi,3000,2024-08-24,8,5,1,Transportasi
Tol Jakarta Bekasi,186500,2024-07-07,7,6,1,Transportasi
Bayar kos bulanan,698500,2024-02-20,2,1,0,Tagihan
Bayar kos bulanan,255000,2024-06-08,6,5,1,Tagihan
